words_en,ratings
I feel comfortable in this vast wilderness.,excellent
I feel comfortable when we talk.,excellent
I feel comfortable with you,excellent
I feel comforted by the fact that gay marriage has been legalized.,excellent
I feel concerned,excellent
I feel concerned,excellent
"I feel concerned that this happened to you, I would have been furious if it had been me.",excellent
I feel confortable,excellent
I feel constrained.,acceptable negative
I feel contracted,excellent
I feel curious,excellent
I feel dark,excellent
I feel defeated,acceptable negative
I feel defensive because my need for respect is not being met.,excellent
I feel delighted,excellent
I feel demoralized.,excellent
I feel depressed because my need for fulfillment is not being met.,excellent
"I feel depressed when the Cubs lose, because I want Chicago to have a winning baseball team.",excellent
I feel depressed.,excellent
I feel determined to finish the race.,excellent
I feel determined to have a stimulating experience.,excellent
I feel determined.,excellent
I feel devalued.,acceptable negative
I feel disappointed that I did not win this award.,excellent
I feel discouraged by the work that needs to be done.,excellent
I feel discredited,acceptable negative
I feel discredited.,acceptable negative
I feel dismayed because my need for justice is not being met.,excellent
I feel disrespected.,acceptable negative
I feel distressed,excellent
I feel distrustful,excellent
I feel disturbed,excellent
I feel disturbed.,excellent
I feel divided,excellent
I feel dragged along against my will.,bad
I feel dreary,excellent
I feel driven by gratitude.,excellent
I feel dynamic,excellent
I feel eager to eat dinner.,excellent
I feel ecstatic,excellent
I feel embittered,excellent
I feel emotionally distant from these events.,excellent
I feel encouraged,excellent
I feel encouraged.,excellent
I feel energized that we can work together.,excellent
I feel enthusiastic,excellent
I feel euphoric,excellent
I feel exalted,excellent
I feel exasperated.,excellent
I feel excited,excellent
I feel excited about your proposal.,excellent
I feel excited to be part of this adventure.,excellent
I feel excited!,excellent
I feel exhausted because I need justice.,excellent
I feel exhausted from the work I did today.,excellent
I feel exhausted.,excellent
I feel exhilarated,excellent
I feel exhilarated in my faith.,excellent
I feel exploited,acceptable negative
I feel exploited.,bad
I feel fear when I am in front of a wolf.,excellent
I feel filled with a sense of joy.,excellent
I feel filled with joy.,excellent
I feel flat,excellent
I feel free,excellent
I feel frustrated,excellent
I feel frustrated,excellent
I feel frustrated because you did this,excellent
"I feel frustrated when you come late, because I was hoping we’d be able to get some front-row seats.",excellent
I feel frustrated.,excellent
I feel fulfilled,excellent
I feel full of ardor,excellent
I feel full of ardor.,excellent
I feel full of aversion,excellent
I feel full of aversion,excellent
I feel full of courage,excellent
I feel full of fervor about taking this cause to the next level.,excellent
I feel full of good feelings,excellent
I feel full of gratitude,excellent
I feel full of gratitude for the help you have given me.,excellent
I feel full of life,excellent
I feel full of sweetness.,excellent
I feel full of understanding for your situation.,excellent
I feel furious!,excellent
I feel galvanized,excellent
I feel glad,excellent
I feel good vibes,excellent
I feel good when the wind sweeps across my face.,excellent
I feel grateful,excellent
I feel guilty,excellent
I feel happy,excellent
I feel happy,excellent
I feel hateful towards terrorists.,excellent
I feel hateful.,excellent
I feel helpless about the situation.,excellent
I feel hopeless.,excellent
I feel humourous,excellent
I feel hurt because I’m needing respect and to be seen for who I am.,excellent
I feel ignored,acceptable negative
I feel ignored,excellent
I feel ignored by you.,bad
I feel ignored.,bad
I feel impatient to open the presents.,excellent
I feel in a conciliatory mood,excellent
I feel in a friendly mood,excellent
I feel in a gloomy mood today with the weather outside.,excellent
I feel in a good mood,excellent
I feel in a good shape,excellent
I feel in a light mood,excellent
I feel in a love mood,excellent
I feel in a worried mood with the current market trend.,excellent
I feel in love with you.,excellent
I feel in pain about this situation.,excellent
I feel in peace,excellent
I feel in tune with that need.,excellent
I feel inadequate.,acceptable negative
I feel incapable.,excellent
I feel indifferent,excellent
I feel indifferent to the situation.,excellent
I feel indifferent today.,excellent
"I feel infuriated when spelling mistakes like that appear in our public brochures, because I want our company to project a professional image.",excellent
I feel insignificant to my colleagues.,bad
I feel inspired,excellent
I feel inspired by the simplicity of these places.,excellent
I feel insulted.,acceptable negative
I feel invigorated by this bath.,excellent
I feel invigorated by this fresh wind.,excellent
I feel invisible,acceptable negative
I feel invited to share a few words.,excellent
I feel involved,excellent
I feel irritated,excellent
I feel irritated when you do this because I need that.,excellent
I feel jaded,excellent
I feel left out,acceptable negative
I feel lethargic,excellent
I feel like a failure.,violent
I feel like charmed,excellent
I feel like I am being dragged into this against my will.,acceptable negative
I feel like I need to be alone,excellent
I feel like I really suck at playing guitar.,bad
I feel like if I was paralyzed,excellent
I feel like I'm being attacked.,acceptable negative
I feel like I'm living a sexual passion.,excellent
I feel like I'm living with a wall.,violent
I feel like I'm starting to refocus.,excellent
I feel like I'm talking in a vacuum,excellent
I feel like she hates to be bothered.,bad
I feel like taken for granted.,bad
I feel like this is not helping.,bad
I feel like we are not going to get along.,bad
I feel like we're off to a bad start,excellent
I feel like you are angry and disappointed?,excellent
I feel like you are neglecting me,excellent
I feel like you are pulling me down.,violent
I feel like you don't appreciate me,bad
I feel like you should have behaved differently.,bad
I feel like you took this without asking,excellent
I feel like you're trying to lead me around by the nose.,bad
"I feel like you're upset, right?",excellent
I feel lively,excellent
I feel lively,excellent
I feel lonely,excellent
I feel lonely,excellent
I feel lonely and need human warmth.,excellent
I feel lonely.,excellent
I feel lost,excellent
I feel loved and secure,good
I feel mad,excellent
I feel manipulated,acceptable negative
I feel manipulated,bad
I feel mistreated.,bad
I feel misunderstood,acceptable negative
I feel misunderstood,excellent
I feel misunderstood by you.,bad
I feel misunderstood.,bad
I feel more alert after drinking coffee.,excellent
I feel more lightweight,excellent
I feel mothered,bad
I feel moved,excellent
I feel moved by this speech.,excellent
I feel much better now.,excellent
I feel my libido is down right now.,excellent
I feel neglected,acceptable negative
I feel neglected,acceptable negative
I feel neglected,bad
I feel neglected.,bad
I feel nervous,excellent
I feel nervous,excellent
"I feel nervous, I think I need to relax.",excellent
I feel not listened to,acceptable negative
I feel nourished by the beauty of this house.,excellent
I feel numb because the explanations are slow compared to my ability to understand them.,excellent
I feel obliged to do it,bad
I feel open to new experiences.,excellent
I feel optimistic,excellent
I feel overhelmed,excellent
I feel overwhelmed by the weight of my responsibilities.,excellent
I feel overworked,excellent
I feel panicky,excellent
I feel particularly comfortable right now.,excellent
I feel peaceful,excellent
I feel penetrated by these words.,excellent
I feel perked up,excellent
I feel persecuted,acceptable negative
I feel persecuted,bad
I feel pessimistic.,excellent
I feel pissed because the garbage has not been taken out and the truck has come by.,excellent
I feel pity for this little kitten.,excellent
I feel playful,excellent
I feel pleased,excellent
I feel posed,excellent
I feel powerless,excellent
I feel present,excellent
I feel pressured,acceptable negative
I feel privileged in living these moments together.,excellent
I feel proud,excellent
I feel provoked by your behavior,bad
I feel pumped up,excellent
I feel pushed around.,acceptable negative
I feel puzzled,excellent
I feel quiet,excellent
I feel quiet,excellent
I feel quite playful,excellent
I feel radiant,excellent
I feel reassured,excellent
I feel refreshed,excellent
I feel regenerated,excellent
I feel regret around how I am behaving towards them.,excellent
I feel rejected,bad
I feel rejected,good
I feel relaxed,excellent
I feel relaxed.,excellent
i feel relieved,excellent
I feel relieved.,excellent
I feel relived,excellent
I feel reluctant,excellent
I feel resentful of this situation.,excellent
I feel resentful when I think about what you said yesterday.,excellent
I feel resentful.,excellent
I feel resigned.,excellent
I feel resolved to live spontaneously.,excellent
I feel restless,excellent
I feel restless and have trouble getting to sleep.,excellent
I feel restricted.,acceptable negative
I feel rich with a sense of happiness.,excellent
I feel sad,excellent
I feel sad,excellent
I feel sad because my need for connection with you is not met.,excellent
I feel sad that I can't touch you anymore.,excellent
I feel saddened,excellent
I feel safe,excellent
I feel satiated,excellent
I feel satisfied,excellent
I feel saturated,excellent
I feel scared when you raise your voice.,excellent
I feel scared when you say that.,excellent
I feel scorned,acceptable negative
I feel scrared,excellent
I feel sensitive,excellent
I feel sensitive to your problem.,excellent
I feel serene,excellent
I feel shocked because this initiative is not in line with my values.,excellent
I feel sickened.,excellent
I feel simulated,excellent
"I feel so fortunate to have had the opportunity to start my career with mentors like you, and to continue to learn in a company that’s growing so fast.",excellent
I feel so happy.,excellent
I feel so strange.,excellent
I feel soothed by this soft music.,excellent
I feel sore after running for two hours.,excellent
I feel sorry,excellent
I feel sparkling,excellent
I feel stimulated by this challenge.,excellent
I feel stressed because I need the cleaning to be done to clear my mind before I rest.,excellent
I feel stuck.,acceptable negative
I feel suprised,excellent
I feel surprised and happy because it meets my need for help and ease.,excellent
I feel suspicious,excellent
I feel tender,excellent
I feel tender,excellent
I feel tenderized by these words.,excellent
I feel tense,excellent
I feel tense because I don't feel safe.,excellent
I feel tense because my need for safety is not met.,excellent
"I feel tense, I need to laugh.",excellent
I feel that my country is not acting in my interest.,excellent
I feel that my eyes are closing.,excellent
I feel that my heart is broken,excellent
I feel that this is a deciding factor for me.,excellent
I feel that what you do is wrong,bad
I feel that you are just a moronic bastard.,very violent
I feel that you don't love me.,bad
I feel that you neglect me,bad
I feel that you reject me,bad
I feel the desire rising in me.,excellent
I feel the gratitude rising in me.,excellent
I feel the need to assert myself in my identity.,excellent
I feel threatened,acceptable negative
I feel threatened,acceptable negative
I feel tired,excellent
I feel tired after tidying the house for 2 hours.,excellent
I feel tired because I didn't get enough sleep last night.,excellent
"I feel tired, will you let me rest for an hour?",excellent
I feel toned,excellent
I feel tormented by the idea of what could happen to you if you fell.,excellent
"I feel tormented, I need to take stock and refocus.",excellent
I feel torn between wanting to go out tonight and being afraid of the Covid.,excellent
I feel totally ignored.,bad
I feel touched,excellent
I feel trapped,acceptable negative
I feel trapped,acceptable negative
I feel troubled by this argument because I need unity.,excellent
I feel trust,excellent
I feel unappreciated,acceptable negative
I feel unappreciated.,bad
I feel uncertain,excellent
I feel uncomfortable,excellent
I feel uncomfortable during conflicts because I need harmony.,excellent
I feel uncomfortable when you do this,excellent
I feel uncomfortable with the smell of cigarette smoke.,excellent
I feel under pressure,excellent
I feel under pressure,excellent
I feel undervalued,bad
I feel uneasy because I need transparency.,excellent
I feel unhappy,excellent
I feel unhappy.,excellent
I feel unsteady on these high heels.,excellent
I feel unwanted,acceptable negative
I feel upsed,excellent
I feel upset,excellent
I feel upset,excellent
I feel upset.,excellent
I feel used,acceptable negative
I feel used.,bad
I feel very angry and energized.,excellent
I feel very happy.,excellent
I feel very irritated right now.,excellent
I feel very sorry that someone I care about has had to suffer. ,excellent
I feel very tired.,excellent
I feel vibrant,excellent
I feel vibrant and full of life.,excellent
I feel victimized.,bad
I feel violated.,bad
I feel vivified,excellent
I feel warm feelings,excellent
I feel warmth in my heart.,excellent
I feel weary,excellent
I feel well fed,excellent
I feel worried.,excellent
I feel wrathful,excellent
I feel wretched,excellent
I feel wrong,excellent
"I feel you are really bitter, old man.",violent
I feel you despise me,bad
I feel you don’t love me.,bad
I felt exasperated,excellent
I felt heavy,excellent
I felt humiliated,good
I felt irritated.,excellent
I felt suspicious,excellent
I find language learning to be fun.,excellent
I find reading to be relaxing.,excellent
I forbid you to do that,bad
I forbid you to talk to him about it,bad
I forbid you to think about it,bad
I found a gold bar in the belly of this wooden doll.,good
"I found this book of adult sex games, would you like to read it?",good
I found three mistakes in the math exercises you turned in.,good
I get angry when I hear about the recent cases of corruption of policemen in the media.,good
I get turned on when I read stories about sex.,good
I get worried when you say that,good
I give everything to others and receive nothing in return.,bad
I give you an ultimatum,very violent
I got a sunburn.,good
I got hit in the face with a tennis ball and had a large bruise on my cheek for weeks.,good
I got the willies,good
I gotta do this,bad
I guess it makes you sad,good
I guess you'd rather I left you alone for now,good
I guess you're just a weak person,very violent
I had a discussion with my manager with regards to participating in the project.,good
I had a good feeling.,good
I had a sense of hostility,good
I had an appointment at 2pm.,good
I had lots of pleasure,good
I had never worked on the weekends.,good
I had something even worse happen so keep calm.,bad
I had the desire to know it better.,good
I had to call 4 times to get you to come to the table,good
I had to throw away 10 packages of food,good
I happen to have all the things you need.,good
"I hate going to work, but I do it because I am a husband and a father.",bad
I hate how needy my girlfriend is; she calls way too much.,bad
I hate it at work and I go because I'm a father,bad
I hate our relationship,violent
I hate to cook but I make dinner every day because I have to,bad
I hate when you leave me alone at work,bad
I hate you,very violent
I hate you,very violent
I have 3 more days of work to finish this project I feel overwhelmed.,good
I have a collection of dildos that I'm very interested in using with you.,good
I have a creative impulse that pushes me forward.,good
I have a desire to bring joy to those around me.,good
I have a disabling disease,good
I have a feeling of aggressiveness which I do not identify the source.,good
I have a feeling of disappointment,good
I have a feeling of well-being and fullness.,good
I have a fetish for dirty panties.,good
I have a fetish for high heels.,good
I have a level of requirement that you are far from reaching...,very violent
I have a need for peace.,good
"I have a passion for this dream, which may make the world a better place.",good
I have a thirst for recognition.,good
I have always had the desire to go outside our borders to admire and discover what is done elsewhere.,good
I have an appetite for the beautiful.,good
I have an aversion to snakes.,good
I have an idea that I would like to share with you.,good
I have an ideal of peace and serenity.,good
I have an ideal of tolerance and solidarity.,good
I have been starting to study Spanish in the last year.,good
I have been very unwell since yesterday evening and won't be able to work today.,good
I have been waiting for 30 minutes,good
I have been working all day and I am exhausted.,good
I have cum while stroking myself with the shower head.,good
I have fallen in love with him.,good
I have had sex with a celebrity.,good
I have had sex with total strangers.,good
I have heard three different versions and I feel confused.,good
I have never seen him run,good
I have no choice but to give you a bad grade,bad
I have no common sense.,violent
I have no common sense.,bad
I have no right to help you,very violent
I have no social skills.,violent
I have no talent.,violent
I have no value to you,bad
"I have not met anyone who speaks my language at the hotel, I feel frustrated because I need to share and exchange with others.",good
I have not seen the family living in that house clean up the yard in a long time. ,good
I have not seen them shovel the snow on their sidewalk.,good
"I have ordered you to sing, miserable beggar!",very violent
"I have pain all the time, it is an effect of fibromyalgia.",good
"I have received 20 requests this morning, I feel anxious because I need to save my energy for tonight.",good
I have sent you a letter.,good
I have some apprehension,good
I have something that makes my lover come every time...,good
I have taken the kids to the park 5 times.,good
I have the desire to refocus on myself.,good
I have the feeling that I'm unappreciated,bad
I have the feeling that you don't love me.,bad
I have the information you asked for.,good
I have the right to yell at you,very violent
"I have this dream deep inside me, which is just waiting to take shape.",good
I have to be on my guard all the time.,bad
I have to be the best at everything.,bad
I have to do it,bad
I have to do it this way,bad
I have to do this,bad
I have to do this,bad
I have to expel you for this infraction because it is school policy,bad
"I have to give in to other people's desires, lest they reject me.",bad
I have to hurt you,very violent
I have to keep my mouth shut all the time,bad
I have to make myself respect,bad
I have to please others to exist.,bad
I have to punish you,very violent
I have to succeed in everything I do,bad
I have to suspend you because it is the school policy.,bad
I have to suspend you for this infraction because it’s the school policy.,bad
"I have to tell you something, I'm bisexual...",good
I have to tell you that I am very upset because I heard.,good
I have trouble with prejudice and intolerance.,good
I haven't found...,good
I haven't seen an abstract work of art that has inspired me yet.,good
I hear how painful it is for you to raise your children here.,good
I hear your concern,good
I heard about what happened and I feel appalled.,good
I heard some noise and ran over.,good
I heard what you said.,good
I heard you have no respect for others,bad
I heard you're always lying,bad
I highly doubt that you will be able to handle this situation with your notorious inability to control your emotions.,very violent
I hired two bodyguards because I need protection.,good
I hit my child because he ran into the street.,violent
I hit my child because he was on the street,violent
I hope it will be rammed down your throat that you're a useless parasite,very violent
I hope that everything's going well over there?,good
"I hope that, when I’ve built up my savings, I’ll be able to travel to Mexico.",good
I hope to have the opportunity to speak with you further about how I can be an asset to your team.,good
I hope we can make up,good
I hope you enjoyed your Applied Mathematics courses.,good
I hope you’re all well and safe.,good
I hurt my foot stepping on a little LEGO,good
"I identify a strong anger in you, am I right?",good
I installed an alarm because I need to know that I am protected.,good
I just started working here.,good
I just wanted it to last longer,good
I just wanted to thank you all for the hard work you've contributed to the team lately.,good
I keep my ventolin in my pocket because I'm afraid of having an asthma attack and not being able to breathe.,good
I kept the receipt if it doesn't fit.,good
I know exactly who's behind this,violent
I know it's you,bad
I know very well that you're trying to get me off my back,bad
I know very well what you think,bad
I know what it's all about anyway,bad
I know what you think,bad
I know what you want,bad
I know what's good for you,bad
I know you don't like being around black people.,bad
I know you don't love me,bad
I know you’re going to do a terrific job.,acceptable positive
I know you're not who you say you are,violent
I know you're plotting behind my back,bad
I let myself be crushed by the day-to-day.,bad
I let myself be dominated by everyone.,violent
I let myself get completely overwhelmed.,bad
I lied because my boss told me to.,bad
I lied to the client because the boss told me to.,bad
I lied to the customer because the boss told me to,bad
I like bannanas.,good
I like being your submissive.,good
I like chocolate.,good
I like coffee.,good
I like having sex in unusual places.,good
I like him.,good
I like it better when you do it like this,good
I like it better when you say that,good
I like it when people ask me questions.,excellent
I like it when the pasta is cooked Al dente.,excellent
I like it when things are simple.,excellent
I like it when we both stroke each other's sex.,excellent
I like it when you are naughty.,excellent
I like it when you dominate me...,excellent
I like it when you stroke my ears.,excellent
I like love stories in which there is a lot of sex...,excellent
I like photographing nature.,excellent
I like tea.,excellent
I like the idea of being a sexy mom.,excellent
I like to be tied to the bed.,excellent
I like to feel an interdependence between us.,excellent
I like to feel that I belong to this community.,excellent
I like to get my wife on my back in bed.,excellent
I like to go to the country on the weekends to rest.,excellent
I like to keep a positive attitude.,excellent
I like to run in the rain.,excellent
I like to taste the pleasures of life.,excellent
I like to watch pornographic movies while we make love.,excellent
I like when I feel a connection between us,excellent
I like you.,excellent
I listen to what you tell me.,good
I long for a little bit of sweetness.,good
I look at your body and I feel ecstatic.,good
I look for empathy and trust.,good
I look forward to constructive feedback.,good
I look forward to contributing my skills and experiences to the company.,good
I look forward to hearing from you.,good
I look forward to speaking with you soon.,good
I look forward to your reply.,good
I looked for you at the bus station.,good
I lost my ID card.,good
I love bondage because I feel totally at your mercy when I'm tied up.,good
I love celebrating this day.,excellent
I love competence and efficiency.,good
I love dancing around a campfire.,excellent
I love fish tacos.,excellent
I love her so much,excellent
I love him.,excellent
I love learning!,excellent
I love my family.,excellent
I love my new pets.,excellent
I love obscene words in bed.,excellent
I love our long walks together,good
I love reading.,excellent
I love S&M sex!,excellent
I love spending time with you,good
I love stroking your hair.,excellent
I love submission and domination games.,excellent
I love the videos that allow me to use my listening skills.,excellent
I love to have poetry read to me during sex.,excellent
I love to watch you undress.,excellent
I love you,excellent
I love you,good
I love you little ass.,excellent
I love you more than anything in the world and more,excellent
I love you more than anything in the world.,excellent
I love you more than anything in the world.,excellent
I love you more than you love me,bad
I love you much more than you love me.,bad
I love you my lover,excellent
I love you my princess,excellent
I love you sweetheart.,good
I love you very much,excellent
I love you very much my princess.,excellent
i love you with all my heart,excellent
I love you.,excellent
I love your sister more than you because you can't be as good as her,violent
I loved hopping through the forest.,excellent
I loved making love to you in the car.,excellent
I loved what we did this evening.,excellent
"I made an ""A"" in this class.",good
"I make the rules, not you",bad
I masturbate several times a day.,good
"I mean, you're just another pervert who can't close.",violent
I measured 5cm between the wall and the cupboard,good
I messed it up,bad
I met Tom yesterday,good
I miss my family.,good
I miss you,good
I miss you.,good
I must admit that I was very amused by this joke.,good
I must always be dressed to perfection.,bad
I must do it,bad
I must do what is needed,bad
I must stay on the top,bad
I must stop being so sensitive,bad
I need attention,good
i need connection,excellent
I need help to orient myself in the city.,good
I need honesty and sincerity.,good
I need less conflict,good
I need lightness,excellent
I need more clarity and some reassurance that we are communicating accurately.,excellent
I need more insight to understand this topic.,good
I need others too much.,bad
I need peace,excellent
i need reciprocity,excellent
I need recognition and gratitude for the work I do.,excellent
i need security,excellent
I need serenity,excellent
I need support,excellent
I need the conversations to be calm,excellent
I need the heat restored quickly,excellent
I need to act in a coherent way with my values.,excellent
I need to actualize my potential.,excellent
I need to be calm,excellent
I need to be careful with our energy consumption,excellent
I need to be gentle for my first time.,excellent
I need to be quiet for a while.,excellent
I need to be reassured that you will be tactful with her.,good
I need to be respected.,good
I need to be understood,good
"I need to come out, I'm gay.",excellent
I need to do this,good
I need to empathize with you to discuss this.,good
I need to exercise my free will.,excellent
I need to feel confident.,excellent
I need to feel more included,excellent
I need to feel supported,good
I need to feel that what I do has meaning.,excellent
I need to have a joyful and liberated sexuality.,excellent
I need to have confidence in myself.,excellent
I need to have fun,excellent
I need to have rituals.,excellent
I need to know that we are keeping our electricity bills under control,excellent
I need to know what you think,excellent
i need to listen,excellent
I need to listen more than I need solutions,good
I need to play a little to relax.,excellent
I need to poop,excellent
I need to poop,excellent
I need to realize myself.,excellent
I need to relax to find inspiration.,excellent
I need to take a breath,good
I need to take myself from others,excellent
I need you to listen to me,bad
I need you to understand that it's hard for me to express myself on this subject,good
I never find anything.,bad
I never get any compensation,bad
"I never know what to do, or what to say.",bad
"I never make mistakes, you do",violent
I note your need.,good
I noted the following mistake in the equation: x shall be squared.,good
I notice that the washing machine didn't work last night.,good
I notice that there is no more bottle in the fridge.,good
I notice that this is the fifth time this week that you refuse to go with me to my friends' house.,good
I noticed that the garbage cans were not taken out,good
I noticed that we made a different decision,good
I noticed you had a smile on your face at that moment...,good
I observe a concrete behavior that affects my well-being,good
I observe that there are 3 boxes of toys spilled on the floor.,excellent
I observe that there is a lot of garbage on the floor.,excellent
I observe that there is a new poc on the door of the car.,excellent
I observe this behavior and it triggers an emotion in me.,good
I often choose to eat pizza if given the choice.,good
I often find inspiration by visiting museums.,good
I only go from humiliation to humiliation.,bad
"I opened the mail, shaking with excitement.",good
I organized my sources by theme.,good
I panicked when I heard the news.,good
"I perceive fear in you, am I right?",good
I pity you,very violent
I prefer to eat healthy foods,excellent
I prefer to eat organic,excellent
I prefer to have a little fun before starting this job,excellent
I prefer to stay home when it rains,excellent
I prefer when we take the time for foreplay because I need to savor the moment.,excellent
I promise to love you forever.,good
I read a story about sexual punishment that made me want to try it.,good
I read in the newspaper that the municipality has decided to build the new road only 50 meters from my house.,good
I realize that there is no ink left in the printer.,good
"I realized that I was wrong about you, I feel ashamed.",good
I really am selfish…,violent
I really appreciate all your help in getting the restaurant ready for opening night.,excellent
I really appreciate your help.,excellent
"I really appreciate your insights, and I'm looking forward to implementing many of your suggestions.",excellent
I really appreciate your kindness and positivity. ,excellent
I really don't give a shit about my life,very violent
I really like learning with the videos.,excellent
I really like our sex life.,excellent
"I really like to spend time on the beach, lounging around.",excellent
I really liked this erotic WE scenario.,excellent
"I really want you, I feel all tingly.",excellent
I received a call from a man.,good
I received a registered letter.,good
I received the invitation to your birthday this morning and I feel happy and soft because it meets my need for inclusion and friendship.,good
I reject all those who like me.,bad
I rejoice,good
I relish the harmony I feel between us.,good
"I request a pay raise of 6%, which I believe reflects both my current competencies and industry averages.",good
I ruined my life,violent
I run four miles every morning.,good
I said good morning.,good
I said that I had farted and you laughed.,good
I savor the feeling of fullness that this view brings me.,good
I saw him yesterday but he didn't see me.,good
I saw one yesterday.,good
I saw you throw food away after dinner and I feel sad because it doesn’t meet my need to care for the environment and the efficient use of resources. ,excellent
I saw you when you dropped it.,excellent
"I see a need for gratitude on your part, is that it?",good
I see about ten fingerprints on the walls.,excellent
I see that it hasn't been done,good
I see that the car's gas gauge is on reserve.,excellent
I see that the housework is not done.,excellent
I see that the result of this addition is wrong.,good
I see that you are all a bunch of shit bags...,very violent
I see three garbage bags on the floor.,excellent
I see you do things I don't understand,excellent
I see you doing things I didn't expect,excellent
I see you have an erection.,excellent
I see you haven't visited these places yet,good
"I sense that you are curious, aren't you?",good
I shame myself.,bad
I should die,violent
I should have been more sensitive.,bad
I should have listened to my mother instead of trusting you,violent
I shuddered with joy when I heard this news.,excellent
I spend my time denigrating my qualities.,bad
"I spent 2 hours flirting with him, then he kissed me...",good
I spent half an hour scraping the stains off the floor to get them out.,good
I spent three hours cleaning and now I feel tired.,good
I start smoking because all my friends did.,bad
I started smoking because all my friends were smoking.,bad
I studied APA rules for 25 hours.,good
I suck,violent
I suck,violent
I suffer because of you,violent
I suggest we do this,good
I suggest you go over these points at home with a clear head.,good
I swept the floor just this morning,good
I sympathize with your pain.,good
I thank you for encouraging me to do this project.,good
I thank you for this report I feel very satisfied with its content.,good
I thank you for your proposal but I am not interested.,good
I think I detect a need for mutual respect in what you say,good
I think I gave it my best efforts.,good
I think I got an F because I didn't study for this class.,excellent
I think I see a need for recognition,good
I think I understand what you're saying.,good
I think in a way I am sapiosexual.,good
I think it was your sense of humor that charmed me.,good
I think it would be beneficial for you to work on your line.,good
I think it's even better with a third person.,good
I think our lives are perfect together,acceptable positive
I think that my feelings are valid.,excellent
I think that there is so much to understand.,good
I think that writting permits to exchange ideas.,good
I think that you are like this,violent
I think that's the least lucid answer I've ever read.,very violent
I think you aren't telling the truth,good
I think you look great in lingerie.,good
I think you should stop worring for such small things.,bad
I think your problem comes from your mother,bad
I think you're being aggressive with me,good
I think you're scared.,good
I thought I recognized a smile at that moment?,excellent
I thought I recognized an affectionate look,excellent
I thought last night was hot.,good
I threw away the meat because it was out of date,excellent
I threw out the rice because no one ate it,good
I told you to do it,bad
I took care of three children by myself yesterday and I felt overwhelmed.,excellent
I took out the trash.,excellent
I took the time to enjoy this meal.,good
"I tried to see the stage, but I was too short.",good
I trust my instincts.,good
I trust you.,good
I try to be interested in international politics but I realize that I feel detached and far from it all.,good
I understand better why nobody is interested in you,very violent
I understand if you don’t want any emails from me.,good
I understand that you are feeling anxiety right now?,good
"I understand that you are in trouble and I don't know how to help you, I feel helpless.",excellent
I understand that you have played a joke on me and I feel annoyed.,good
I understand that you need to calm down,excellent
"I understand that you’re disappointed, we have had many absences due to illness.",good
I understand that you're angry.,excellent
I usually drink coffee on the morning.,good
I value justice.,excellent
I value my autonomy.,excellent
I value simplicity.,excellent
I visited my Grandma.,good
I waited for the train.,good
I waited for you for an hour in the rain.,excellent
I walked and looked around.,good
I want a big hug.,good
I want a fire truck,bad
I want a massage.,good
I want her to shut her big fat whore mouth.,very violent
I want kisses and hugs,good
I want more respect from you,bad
I want mutual respect between us.,good
I want sex.,good
I want the Playstation 4,bad
I want these flashlights to last so they’ll be available if we have an emergency.,excellent
I want to be an astronaut.,good
I want to be with you.,good
I want to change jobs because I need to grow in my career.,excellent
I want to do some really big shit with your body.,good
I want to do you doggy style.,good
I want to go to this party because I need empowerment.,excellent
I want to lay you on the pool table and take you there...,good
"I want to lose weight, yet I eat chocolate daily.",excellent
I want to make sure they feel good,good
"I want to play together, would you agree to make a cabin?",excellent
I want to resolve human conflicts in other ways,excellent
"I want to share something, but I would like to to reflect me how you think I feel before telling me how you feel.",good
I want to spice up our sex life.,excellent
I want to strangle you,very violent
I want to strangle you,very violent
"I want to trust that we’ll work this out soon, would you be willing to talk this afternoon after lunch?",good
I want to try a threesome.,good
I want to try BDSM but I'm afraid it will hurt.,good
I want to try new things in bed.,good
I want to try sodomy but I'm afraid it will hurt.,good
"I want to try something different; it is new and I am not completely comfortable with it and will need to use my training wheels, so please bear with me.",good
I want to try the libertine clubs.,good
I want you to caress me.,excellent
I want you to give me an ass-kicking.,excellent
I want you to make me scream.,excellent
I want you to put your lips on mine.,excellent
I want you to stop drinking.,bad
I want you to take me violently.,excellent
I want you to understand me.,bad
I want you.,excellent
I wanted to let you know how much I appreciated your help with the project.,good
I wanted to take the time to thank you for the service you provided to us.,good
I was afraid of the rat,good
I was angry,good
I was at my Grandma.,good
I was breathless,good
I was disappointed that you didn't come because I wanted to discuss some things that upset me.,good
I was feeling upset when it didn't boil.,good
I was fondling myself on the campus washing machine.,good
I was having a great time.,good
I was horrified,good
I was in a gloomy mood.,good
I was in our room.,good
I was lost in the dark of night.,good
I was only entitled to reproaches,bad
I was overcome by my urge to eat the candy bar.,bad
I was saddened to hear the bad news.,good
I was shaken by this news.,excellent
I was so wrong,bad
I was stung to the core.,excellent
"I was surprised to hear that you were 6 months pregnant, I wish I had known that before.",good
I was very keen on it,good
I was waiting for the rain to stop.,good
I was warned that you had a bad heart,violent
I was working all night.,good
I wasn't aggressive enough compared to you.,bad
"I watched the giant, sleeping soundly, as he crept by.",good
I went home.,good
I went to see my parents.,good
I went to the bathroom because I needed to pee.,good
I went to the library where I studied until 8 o'clock.,good
I went to work.,good
I will always be by your side.,good
I will never achieve anything.,violent
I will never achieve my dreams.,violent
I will never be happy,violent
I will never make it,violent
I will not spoon-feed you,bad
